course_id,review_platform,title,provider,school,area,subject,price,level,course_length,effort_hours,published_time,time,session_open,low rating ratio,mid rating ratio,high rate ratio,helpfulness score (ratio),avg. review length,review count,review rating,indegree,outdegree,degree,betweenness,closeness,eigenvector,transitivity,constraint,performace (t),performance (t+1),url
CourseTalk-2567,CourseTalk,Music as Biology: What We Like to Hear and Why,Coursera,Duke University,Life Sciences,Biology,30,NA,6,NA,3,4,TRUE,0,0,1,0,792,1,5,1,0,1,0,2.12E-06,1.88E-05,0,1.000219353,5,NA,51747
CourseTalk-2676,CourseTalk,Indigenous Canada,Coursera,University of Alberta,Arts and Humanities,History,30,NA,12,NA,4,4,TRUE,0,0,1,0,746,1,5,1,1,2,76,6.39E-06,1.88E-05,7.48E-05,0.500219353,5,NA,83873
CourseTalk-2787,CourseTalk,Buddhism and Modern Psychology,Coursera,Princeton University,Social Sciences,Psychology,NA,NA,6,3.5,1,3,TRUE,0,1,0,0,643,1,3,0,0,0,0,0,4.93E-06,0,0,3,4,50777
CourseTalk-2787,CourseTalk,Buddhism and Modern Psychology,Coursera,Princeton University,Social Sciences,Psychology,NA,NA,6,3.5,1,4,TRUE,0,0,1,0,478,1,4,1,1,2,0,3.01E-07,1.87E-05,7.48E-05,1.000219353,4,NA,50777
CourseTalk-2797,CourseTalk,Introduction to Clinical Neurology,Coursera,"University of California, San Francisco",Life Sciences,Clinical Science,30,NA,6,5,1,2,TRUE,0,0,1,0,0,1,5,0,0,0,0,1.06E-17,1.36E-05,0,0,5,0,14163
CourseTalk-2807,CourseTalk,Managing the Company of the Future,Coursera,University of London International Programmes,Business,Leadership and Management,30,NA,5,3,2,2,TRUE,0,0,1,0,190,1,4,0,0,0,0,1.06E-17,1.36E-05,0,0,4,0,34438
CourseTalk-2815,CourseTalk,"Networks: Friends, Money, and Bytes",Coursera,Princeton University,Computer Science,Computer Security and Networks,NA,NA,12,4,0,2,TRUE,0,0,1,0,0,1,4,1,1,2,0,9.39E-20,4.71E-05,2.70E-05,1.000147128,4,0,52
CourseTalk-2817,CourseTalk,"Online Games: Literature, New Media, and Narrative",Coursera,Vanderbilt University,Arts and Humanities,Music and Art,30,Introductory,6,6.5,1,3,TRUE,0,0,1,0,2190,1,5,2,2,4,336.7,0,1.52E-05,4.93E-05,0.500039419,5,0,227
CourseTalk-2820,CourseTalk,Statistical Inference,Coursera,Johns Hopkins University,Data Science,Probability and Statistics,30,NA,4,8,1,3,TRUE,0,0.5,0.5,0,318.5,2,4,3,3,6,6173.583333,0,1.54E-05,4.93E-05,0.333372752,8,0,51426
CourseTalk-2919,CourseTalk,Nanotechnology and Nanosensors,Coursera,Technion - Israel Institute of Technology,Physical Science and Engineering,Chemistry,30,NA,NA,NA,1,1,TRUE,0,0,1,0,738,1,5,0,0,0,0,0,1.73E-05,0,0,5,0,3240
